title;avaliacao;valor;descricao;numero;endereco
RIBEIRAO PRETO - LAR GRECIA;Valor de avaliação: R$ 190.000,00;Valor mínimo de venda: R$ 114.838,57 ( desconto de 39,56%);Apartamento - 95,08 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771156863-8;RUA ALFREDO PUCCI,N. 80 Apto. 22 BL A TORRE 2, , BONFIM PAULISTA
RIBEIRAO PRETO - LAR ITALIA;Valor de avaliação: R$ 142.000,00;Valor mínimo de venda: R$ 83.135,75 ( desconto de 41,45%);Apartamento - 88,89 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553822962-7;RUA CIRCULAR,N. 100 Apto. 32 BL B, TORRE 1, , ESTRADA MUNICIPAL
RIBEIRAO PRETO - VITTA JARDIM DOS FLAMBOYANTS;Valor de avaliação: R$ 168.000,00;Valor mínimo de venda: R$ 97.066,99 ( desconto de 42,22%);Apartamento - 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771142469-5;RUA JOAO CARVALHO RUFINO,N. 1400 Apto. 33 BL C TORRE 6, , VITTA JRD D FLAMBOYA
RIBEIRAO PRETO - VITTA RECANTO DA MATA;Valor de avaliação: R$ 140.000,00;Valor mínimo de venda: R$ 81.964,82 ( desconto de 41,45%);Apartamento - 108,39 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770878760-0;VIA JERÔNIMO AFRELDO AMOR ESPIN,N. 400 Apto. 11 BL F, TORRE 1, , FAZENDA PALMEIRAS
RIBEIRAO PRETO - VITTA RECANTO DA MATA;Valor de avaliação: R$ 161.000,00;Valor mínimo de venda: R$ 95.407,73 ( desconto de 40,74%);Apartamento - 108,39 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770916262-0;VIA JERÔNIMO ALFREDO AMOR ESPIN,N. 400 Apto. 33 BL A, TORRE 1, , FAZENDA PALMEIRAS
RIBEIRAO PRETO - PQ ROMANCE;Valor de avaliação: R$ 160.000,00;Valor mínimo de venda: R$ 94.815,14 ( desconto de 40,74%);Apartamento - - Venda Direta Online;844443078786-4;AV ALFREDO RAVANELI,N. 3409 Apto. 206 BL 5,
RIBEIRAO PRETO - COND VITTA RECANTO DAS PALMEIRAS;Valor de avaliação: R$ 158.000,00;Valor mínimo de venda: R$ 93.629,95 ( desconto de 40,74%);Apartamento - 1 vaga(s) na garagem - Venda Direta Online;855553985623-4;AVENIDA DOUTOR FERNANDO MENDES GARCIA,N. 2720 Apto. 03 BL E T 03, , FLORESTAN FERNANDES
RIBEIRAO PRETO - PORTAL MIRANTE DA COLINA;Valor de avaliação: R$ 230.000,00;Valor mínimo de venda: R$ 139.015,11 ( desconto de 39,56%);Apartamento - 1 vaga(s) na garagem - Venda Direta Online;878771103316-5;AVENIDA EDUARDO ANDREA MATARAZZO,N. 6050 Apto. 103 TORRE 06,
RIBEIRAO PRETO - VITTA PARQUE DOS MACANÁS;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 87.819,45 ( desconto de 41,45%);Apartamento - 88,44 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771014883-0;ESTRADA VICENTE CANUTO,N. 280 Apto. 31 3º PAVIMENTO, BLOCO B, TORRE 1, , VITTA PARQUE DOS MAN
RIBEIRAO PRETO - GREEN;Valor de avaliação: R$ 240.000,00;Valor mínimo de venda: R$ 152.955,43 ( desconto de 36,27%);Apartamento - 1 vaga(s) na garagem - Venda Direta Online;178770156634-0;RUA BENEDITO GIR,N. 230 Apto. 306, , BONFIM PAULISTA
RIBEIRAO PRETO - CONQUISTA HORIZONTE;Valor de avaliação: R$ 190.000,00;Valor mínimo de venda: R$ 114.838,57 ( desconto de 39,56%);Apartamento - 105,49 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771866346-6;RUA GERALDO RINHEL SOBRINHO,N. 400 Apto. 102 BL 06, TERREO,
RIBEIRAO PRETO - CONQUISTA HORIZONTE;Valor de avaliação: R$ 168.000,00;Valor mínimo de venda: R$ 99.555,89 ( desconto de 40,74%);Apartamento - 91,21 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878772020685-9;RUA GERALDO RINHEL SOBRINHO,N. 400 Apto. 207 BL 4,
RIBEIRAO PRETO - VITTA JARDIM DOS FLAMBOYANTS;Valor de avaliação: R$ 175.000,00;Valor mínimo de venda: R$ 103.704,06 ( desconto de 40,74%);Apartamento - 94,93 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771254111-3;RUA JOÃO CARVALHO RUFINO,N. 1400 Apto. 3 BL D, TORRE 5, , LOT SANTA MARTA
RIBEIRAO PRETO - VITTA HEITOR RIGON 3;Valor de avaliação: R$ 155.000,00;Valor mínimo de venda: R$ 90.746,77 ( desconto de 41,45%);Apartamento - 89,45 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770542077-2;RUA JOSE DE ALCANTARA,N. 765 Apto. 13 BLC,TORRE 4,
RIBEIRAO PRETO - RESIDENCIAL BOSQUE DO CERRADO;Valor de avaliação: R$ 131.500,00;Valor mínimo de venda: R$ 76.174,41 ( desconto de 42,07%);Apartamento - 106,52 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553129704-0;RUA LARA NILSA RAFFAINI CACAO,N. 630 Apto. 34 03 ANDAR BL 10, , SUBSETOR NORTE
RIBEIRAO PRETO - PARQUE REMANSO DO BOSQUE;Valor de avaliação: R$ 146.000,00;Valor mínimo de venda: R$ 85.477,60 ( desconto de 41,45%);Apartamento - 100,18 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;855553775607-0;RUA LUIZ CROPANESE SPADARO JUNIOR,N. 100 Apto. 404 BL 07,
RIBEIRAO PRETO - RESIDENCIAL CROMO;Valor de avaliação: R$ 141.000,00;Valor mínimo de venda: R$ 82.550,28 ( desconto de 41,45%);Apartamento - 64,24 m2, 2 quarto(s) - Venda Direta Online;878771346766-9;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 925 Apto. 401 BL 23,
RIBEIRAO PRETO - RES PALADIO;Valor de avaliação: R$ 169.500,00;Valor mínimo de venda: R$ 100.444,78 ( desconto de 40,74%);Apartamento - 79,94 m2, 2 quarto(s) - Venda Direta Online;878771478869-8;RUA PROFESSOR AYLTON RICOY DE OLIVEIRA,N. 605 Apto. 302 BL 11, , LOTEAMENTO RESERVA O
RIBEIRAO PRETO - VITTA JARDIM INTERLAGOS;Valor de avaliação: R$ 175.000,00;Valor mínimo de venda: R$ 103.704,06 ( desconto de 40,74%);Apartamento - 98,67 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770193424-0;RUA ZILDA DE SOUZA RIZZI,N. 751 Apto. 22 PAV 02 BL B T 01, , JARDIM INTERLAGOS
RIBEIRAO PRETO - VITTA RECANTO DA MATA;Valor de avaliação: R$ 142.000,00;Valor mínimo de venda: R$ 83.135,75 ( desconto de 41,45%);Apartamento - 108,39 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878770960941-1;VIA JERONIMO ALFREDO AMOR ESPIN,N. 400 Apto. 14 BL E, TORRE 3, , FAZENDA PALMEIRAS
RIBEIRAO PRETO - VITTA RECANTO DA MATA;Valor de avaliação: R$ 150.000,00;Valor mínimo de venda: R$ 87.819,45 ( desconto de 41,45%);Apartamento - 108,39 m2, 2 quarto(s), 1 vaga(s) na garagem - Venda Direta Online;878771046493-6;VIA JERONIMO ALFREDO AMOR ESPIN,N. 400 Apto. 14 BL A, TR 01, , AREA RURAL DE RIBEIRAO PRETO
